id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str
19518,Jardines de Joan Brossa,park,conservatory,41.3684,2.16702,Barcelona,building,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,60,"['culture', 'indoor']",culture|indoor
19519,Jardines de Mossèn Cinto Verdaguer,park,conservatory,41.3676,2.16432,Barcelona,geographical feature,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,"['culture', 'indoor']",culture|indoor
19520,Parque de Cervantes,park,conservatory,41.3844,2.10575,Barcelona,park,4.7,0.5037655860349127,,,False,False,False,False,2.9249602244389026,False,60,"['culture', 'indoor']",culture|indoor
19521,Jardines de Joan Maragall,park,conservatory,41.3672,2.15703,Barcelona,park,4.7,0.5037655860349127,,,False,False,False,False,2.9249602244389026,False,60,"['culture', 'indoor']",culture|indoor
334521,Jardín botánico histórico de Barcelona,park,conservatory,41.3672,2.15273,Barcelona,botanical garden,3.9,0.5037655860349127,,,False,False,False,False,2.4489602244389026,False,60,"['culture', 'indoor']",culture|indoor
334522,Arenas de Barcelona,monument,monument,41.3763,2.14928,Barcelona,building,4.7,0.63,Su-Th 13:00-23:00; Fr-Sa 13:00-00:00,OSM,True,False,True,True,3.479,True,25,"['has_schedule', 'historic', 'touristic']",has_schedule|historic|touristic
334523,Torres venecianas,monument,monument,41.374,2.1498,Barcelona,tower,3.5,0.5037655860349127,,,False,False,False,False,2.2109602244389026,False,25,"['historic', 'touristic']",historic|touristic
334524,Parque de la España Industrial,tourist_attraction,attraction,41.3775,2.14083,Barcelona,geographical feature,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,60,[],
334548,Edificio Media-TIC,tourist_attraction,attraction,41.4025,2.19456,Barcelona,building,3.8,0.18,"Mo-Fr 08:00-19:00; PH,Sa,Su 10:00-17:00",OSM,True,False,True,True,2.7139999999999995,True,60,['has_schedule'],has_schedule
334554,Barcelona-Estación de Francia,monument,monument,41.384,2.186,Barcelona,railway station,4.6,0.31,"Mo-Su 13:30-16:00, 20:45-23:30",OSM,True,False,True,True,3.3129999999999997,True,25,"['has_schedule', 'historic', 'touristic']",has_schedule|historic|touristic
334570,Mercado de Santa Caterina,monument,monument,41.3865,2.17806,Barcelona,marketplace,4.8,0.94,"Mo 07:30-14:00; Tu-We, Sa 07:30-15:30; Th-Fr 07:30-20:30",OSM,True,False,True,True,3.642,True,25,"['has_schedule', 'historic', 'touristic']",has_schedule|historic|touristic
334727,Edificio de Correos de Barcelona,administrative,government,41.3815,2.18145,Barcelona,,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,20,"['institutional', 'quick_visit']",institutional|quick_visit
334752,Plaza de San Jaime,cultural,square,41.3825,2.17694,Barcelona,,4.2,0.54,Jan-Dec: Mo-Su 13:00-16:00; Mo-Su 20:00-00:00,OSM,True,False,True,True,3.102,True,20,"['has_schedule', 'outdoor', 'quick_visit', 'urban']",has_schedule|outdoor|quick_visit|urban
334753,Iglesia de San Jaime (Barcelona),religious,church,41.3813,2.1755,Barcelona,,4.8,0.5037655860349127,,,False,False,False,False,2.9844602244389025,False,40,"['historic', 'religious']",historic|religious
334754,Plaza de Lesseps,cultural,square,41.4069,2.14972,Barcelona,,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,20,"['outdoor', 'quick_visit', 'urban']",outdoor|quick_visit|urban
334755,Plaça de Trilla,cultural,square,41.4036,2.15229,Barcelona,,3.9,0.5037655860349127,,,False,False,False,False,2.4489602244389026,False,20,"['outdoor', 'quick_visit', 'urban']",outdoor|quick_visit|urban
334756,Conjunt d'habitatges plurifamiliars a la rambla del Prat (Barcelona),monument,monument,41.4019,2.15242,Barcelona,,4.7,0.5037655860349127,,,False,False,False,False,2.9249602244389026,False,25,"['historic', 'touristic']",historic|touristic
334757,Plaça de la Vila de Gràcia,cultural,square,41.4001,2.15765,Barcelona,,4.1,0.65,"Mo,We 17:00-20:00; Tu,Th-Fr 09:00-14:00,17:00-20:00; Sa-Su off",OSM,True,False,True,True,3.0649999999999995,True,20,"['has_schedule', 'outdoor', 'quick_visit', 'urban']",has_schedule|outdoor|quick_visit|urban
