id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str,content_base,content_length,has_content_text,cluster_geo,has_cluster_geo,visit_duration_filled,rating_filled,match_confidence_filled,score_norm,rating_norm,match_confidence_norm,visit_duration_norm,quality_signal,similarity_score
749,Casa de l'Ardiaca,historic,castle,41.3841,2.17567,Barcelona,building,4.9,0.42,"Mo-Fr 09:30-18:30; Sa 09:30-17:15; Su,PH 14:00-17:00",OSM,True,False,True,True,3.556,True,90,['has_schedule' 'historic' 'long_visit' 'touristic'],has_schedule|historic|long_visit|touristic,casa de l'ardiaca historic castle building has_schedule|historic|long_visit|touristic,85,True,1,True,90,4.9,0.42,0.9200852330397993,1.0,0.3829787234042553,0.7272727272727273,0.859498,
765,Fuente Mágica de Montjuic,fountain,fountain,41.3712,2.15174,Barcelona,fountain,4.5,0.5037655860349127,,,False,False,False,False,2.805960224438903,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,fuente mágica de montjuic fountain fountain fountain outdoor|quick_visit|urban,78,True,5,True,10,4.5,0.5037655860349127,0.528325403792438,0.8095238095238094,0.47209104897331144,0.0,0.59019,
778,Las Cuatro Columnas,fountain,fountain,41.3707,2.15202,Barcelona,architectural structure,4.4,0.38,24/7,OSM,True,True,True,True,3.194,True,10,['always_open' 'has_schedule' 'outdoor' 'quick_visit' 'urban'],always_open|has_schedule|outdoor|quick_visit|urban,las cuatro columnas fountain fountain architectural structure always_open|has_schedule|outdoor|quick_visit|urban,112,True,5,True,10,4.4,0.38,0.7310058497744879,0.761904761904762,0.34042553191489366,0.0,0.680144,
779,Estación de Palau Reial,fountain,fountain,41.3864,2.11883,Barcelona,metro station,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,estación de palau reial fountain fountain metro station outdoor|quick_visit|urban,81,True,2,True,10,4.2,0.5037655860349127,0.4350915090055371,0.6666666666666666,0.47209104897331144,0.0,0.498535,
781,Fuente de la Belleza,fountain,fountain,41.3687,2.16501,Barcelona,fountain,4.4,0.43,10:00-dusk,OSM,True,False,True,True,3.209,True,10,['has_schedule' 'outdoor' 'quick_visit' 'urban'],has_schedule|outdoor|quick_visit|urban,fuente de la belleza fountain fountain fountain has_schedule|outdoor|quick_visit|urban,86,True,5,True,10,4.4,0.43,0.7388406308490174,0.761904761904762,0.39361702127659576,0.0,0.692823,
790,Palacete Albéniz,fountain,fountain,41.3672,2.15572,Barcelona,building,3.4,0.5037655860349127,,,False,False,False,False,2.1514602244389027,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,palacete albéniz fountain fountain building outdoor|quick_visit|urban,69,True,5,True,10,3.4,0.5037655860349127,0.18646778957380175,0.2857142857142857,0.47209104897331144,0.0,0.254123,
791,Fuente de las Tres Gracias (Barcelona),fountain,fountain,41.3801,2.17528,Barcelona,fountain,4.2,0.5037655860349127,,,False,False,False,False,2.6274602244389027,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,fuente de las tres gracias (barcelona) fountain fountain fountain outdoor|quick_visit|urban,91,True,1,True,10,4.2,0.5037655860349127,0.4350915090055371,0.6666666666666666,0.47209104897331144,0.0,0.498535,
798,Jardines de Can Sentmenat,fountain,fountain,41.4027,2.11486,Barcelona,garden,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,jardines de can sentmenat fountain fountain garden outdoor|quick_visit|urban,76,True,2,True,10,4.6,0.5037655860349127,0.5594033687214048,0.8571428571428569,0.47209104897331144,0.0,0.620741,
802,Fuente de Hércules,fountain,fountain,41.4018,2.16637,Barcelona,sculpture,4.7,0.5037655860349127,,,False,False,False,False,2.9249602244389026,False,10,['outdoor' 'quick_visit' 'urban'],outdoor|quick_visit|urban,fuente de hércules fountain fountain sculpture outdoor|quick_visit|urban,72,True,3,True,10,4.7,0.5037655860349127,0.5904813336503717,0.9047619047619047,0.47209104897331144,0.0,0.651293,
804,Fuente de Diana,fountain,fountain,41.3916,2.17118,Barcelona,fountain,4.5,0.4,24/7,OSM,True,True,True,True,3.27,True,10,['always_open' 'has_schedule' 'outdoor' 'quick_visit' 'urban'],always_open|has_schedule|outdoor|quick_visit|urban,fuente de diana fountain fountain fountain always_open|has_schedule|outdoor|quick_visit|urban,93,True,1,True,10,4.5,0.4,0.7707020738854373,0.8095238095238094,0.3617021276595745,0.0,0.719058,
